## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE results/qc/NA12878_insert_size_metrics.txt_histogram.pdf --INPUT results/aligned/NA12878_recal.bam --OUTPUT results/qc/NA12878_insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 03 09:41:01 MDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
300	301	34	66	542	299.984971	49.918145	4998233	FR	13	27	39	53	69	85	105	129	165	197	259			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
66	1
88	1
111	1
130	1
132	1
133	1
135	1
136	1
142	1
144	1
145	2
146	3
147	4
149	1
150	7045
151	485
152	517
153	510
154	550
155	576
156	628
157	639
158	676
159	752
160	802
161	807
162	860
163	909
164	987
165	1056
166	1137
167	1119
168	1186
169	1354
170	1290
171	1448
172	1494
173	1557
174	1680
175	1752
176	1778
177	1984
178	2047
179	2120
180	2225
181	2299
182	2597
183	2613
184	2667
185	2865
186	2988
187	3109
188	3246
189	3389
190	3607
191	3612
192	3981
193	4074
194	4238
195	4411
196	4528
197	4829
198	5015
199	5131
200	5370
201	5575
202	5806
203	6127
204	6227
205	6576
206	6747
207	7130
208	7448
209	7500
210	7936
211	8180
212	8485
213	8705
214	9334
215	9518
216	9823
217	10112
218	10410
219	10662
220	11352
221	11342
222	11780
223	12430
224	12386
225	12963
226	13379
227	13693
228	14081
229	14480
230	15053
231	15365
232	15677
233	16353
234	16457
235	17115
236	17691
237	17884
238	18577
239	18915
240	19440
241	19664
242	20442
243	20628
244	21324
245	21673
246	22138
247	22664
248	23305
249	23782
250	23933
251	24486
252	25442
253	25499
254	26143
255	26858
256	27034
257	27872
258	27818
259	28495
260	29098
261	29427
262	29966
263	30322
264	30819
265	31405
266	31774
267	32215
268	32142
269	32970
270	33246
271	33764
272	34134
273	34693
274	35071
275	35037
276	35479
277	35958
278	36284
279	36635
280	36645
281	36982
282	37344
283	37942
284	38167
285	38504
286	38514
287	38571
288	38695
289	38661
290	39216
291	39397
292	39412
293	39288
294	39589
295	39422
296	39781
297	39699
298	39914
299	39796
300	39733
301	40093
302	39675
303	39682
304	39844
305	39485
306	39403
307	39451
308	39450
309	39207
310	39041
311	38779
312	38966
313	38382
314	38264
315	38442
316	37806
317	37610
318	37391
319	36977
320	36369
321	36288
322	36333
323	35994
324	35807
325	35370
326	34824
327	34515
328	34161
329	33967
330	33222
331	33043
332	32518
333	32040
334	31501
335	31247
336	30625
337	30677
338	29935
339	29572
340	28949
341	28778
342	27807
343	27483
344	27166
345	26848
346	26191
347	25744
348	25305
349	24565
350	24324
351	23639
352	23100
353	22769
354	22153
355	21771
356	21274
357	20943
358	20504
359	19808
360	19289
361	18832
362	18447
363	18095
364	17291
365	16937
366	16583
367	16310
368	16123
369	15286
370	14921
371	14654
372	14240
373	13556
374	13263
375	12711
376	12662
377	12180
378	11807
379	11228
380	11164
381	10703
382	10216
383	9956
384	9673
385	9491
386	8969
387	8511
388	8625
389	8319
390	7975
391	7619
392	7250
393	7031
394	6808
395	6614
396	6361
397	6096
398	5727
399	5543
400	5404
401	5187
402	4941
403	4719
404	4701
405	4194
406	4179
407	4081
408	3796
409	3712
410	3539
411	3399
412	3265
413	3169
414	2938
415	2863
416	2701
417	2561
418	2441
419	2312
420	2164
421	2151
422	2039
423	1920
424	1826
425	1730
426	1586
427	1522
428	1513
429	1526
430	1393
431	1283
432	1168
433	1158
434	1060
435	1025
436	936
437	948
438	873
439	840
440	831
441	737
442	679
443	670
444	644
445	626
446	565
447	540
448	454
449	448
450	441
451	421
452	426
453	380
454	355
455	346
456	290
457	274
458	235
459	251
460	225
461	214
462	202
463	186
464	175
465	171
466	158
467	143
468	137
469	136
470	139
471	127
472	113
473	105
474	80
475	88
476	74
477	89
478	63
479	69
480	60
481	56
482	42
483	47
484	50
485	40
486	38
487	41
488	34
489	26
490	31
491	27
492	31
493	29
494	23
495	20
496	20
497	14
498	14
499	17
500	17
501	20
502	11
503	12
504	7
505	4
506	8
507	6
508	7
509	4
510	8
511	7
512	5
513	8
514	5
515	2
516	3
517	4
518	4
519	4
520	1
521	5
522	1
523	3
524	3
526	1
527	1
528	2
529	2
530	3
532	3
534	2
536	2
542	1

