## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/NA12878_raw.bam --OUTPUT results/aligned/NA12878_markdup.bam --METRICS_FILE results/qc/NA12878_markdup_metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 03 08:52:36 MDT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA12878	0	5000000	0	0	0	1766	860	0.000353	13790497321

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000172	4996469	0	4997328
2.0	1.999981	1764	860	906
3.0	2.999428	1	0	0
4.0	3.998513	0	0	0
5.0	4.997236	0	0	0
6.0	5.995596	0	0	0
7.0	6.993595	0	0	0
8.0	7.991232	0	0	0
9.0	8.988507	0	0	0
10.0	9.98542	0	0	0
11.0	10.981973	0	0	0
12.0	11.978164	0	0	0
13.0	12.973993	0	0	0
14.0	13.969462	0	0	0
15.0	14.96457	0	0	0
16.0	15.959318	0	0	0
17.0	16.953704	0	0	0
18.0	17.947731	0	0	0
19.0	18.941397	0	0	0
20.0	19.934702	0	0	0
21.0	20.927648	0	0	0
22.0	21.920233	0	0	0
23.0	22.912459	0	0	0
24.0	23.904325	0	0	0
25.0	24.895832	0	0	0
26.0	25.886979	0	0	0
27.0	26.877767	0	0	0
28.0	27.868196	0	0	0
29.0	28.858266	0	0	0
30.0	29.847976	0	0	0
31.0	30.837328	0	0	0
32.0	31.826322	0	0	0
33.0	32.814957	0	0	0
34.0	33.803233	0	0	0
35.0	34.791151	0	0	0
36.0	35.778712	0	0	0
37.0	36.765914	0	0	0
38.0	37.752758	0	0	0
39.0	38.739244	0	0	0
40.0	39.725373	0	0	0
41.0	40.711145	0	0	0
42.0	41.696559	0	0	0
43.0	42.681616	0	0	0
44.0	43.666316	0	0	0
45.0	44.650658	0	0	0
46.0	45.634644	0	0	0
47.0	46.618274	0	0	0
48.0	47.601546	0	0	0
49.0	48.584463	0	0	0
50.0	49.567023	0	0	0
51.0	50.549227	0	0	0
52.0	51.531074	0	0	0
53.0	52.512566	0	0	0
54.0	53.493702	0	0	0
55.0	54.474483	0	0	0
56.0	55.454907	0	0	0
57.0	56.434977	0	0	0
58.0	57.414691	0	0	0
59.0	58.39405	0	0	0
60.0	59.373054	0	0	0
61.0	60.351703	0	0	0
62.0	61.329997	0	0	0
63.0	62.307937	0	0	0
64.0	63.285522	0	0	0
65.0	64.262753	0	0	0
66.0	65.23963	0	0	0
67.0	66.216152	0	0	0
68.0	67.192321	0	0	0
69.0	68.168135	0	0	0
70.0	69.143596	0	0	0
71.0	70.118703	0	0	0
72.0	71.093457	0	0	0
73.0	72.067858	0	0	0
74.0	73.041905	0	0	0
75.0	74.015599	0	0	0
76.0	74.98894	0	0	0
77.0	75.961928	0	0	0
78.0	76.934564	0	0	0
79.0	77.906847	0	0	0
80.0	78.878777	0	0	0
81.0	79.850356	0	0	0
82.0	80.821582	0	0	0
83.0	81.792456	0	0	0
84.0	82.762978	0	0	0
85.0	83.733148	0	0	0
86.0	84.702966	0	0	0
87.0	85.672433	0	0	0
88.0	86.641549	0	0	0
89.0	87.610313	0	0	0
90.0	88.578726	0	0	0
91.0	89.546788	0	0	0
92.0	90.514499	0	0	0
93.0	91.481859	0	0	0
94.0	92.448869	0	0	0
95.0	93.415528	0	0	0
96.0	94.381836	0	0	0
97.0	95.347795	0	0	0
98.0	96.313403	0	0	0
99.0	97.278661	0	0	0
100.0	98.243569	0	0	0

